customer_id,join_date,plan,country,industry,monthly_revenue,monthly_logins,features_used,data_usage_gb,support_tickets,avg_response_time_hours,satisfaction_score,payment_method,late_payments,churned,churn_date,churn_score
CUST_000001,2024-12-01 00:47:40.570895,Basic,Japan,Retail,22.55,11,10,20.3,1,1.4,7.8,Credit Card,2,0,,0.12
CUST_000002,2025-05-27 00:47:40.570895,Basic,US,Finance,25.92,8,14,36.1,1,22.4,6.6,Credit Card,1,0,,-0.05
CUST_000003,2024-01-01 00:47:40.570895,Basic,US,Technology,27.67,18,8,11.66,1,44.3,4.2,PayPal,1,0,,1.96
CUST_000004,2024-03-03 00:47:40.570895,Premium,UK,Manufacturing,86.48,18,11,16.49,1,38.9,6.5,Credit Card,1,0,,-0.39
CUST_000005,2024-04-16 00:47:40.570895,Enterprise,Australia,Technology,165.6,18,4,5.01,3,7.7,4.4,PayPal,2,1,2024-07-26 00:47:40.570895,5.07
CUST_000006,2024-12-20 00:47:40.570895,Basic,US,Retail,28.13,10,6,119.06,1,33.8,6.3,PayPal,1,0,,-0.5
CUST_000007,2025-01-20 00:47:40.570895,Enterprise,Australia,Technology,202.86,17,11,52.16,0,10.4,6.2,Credit Card,0,0,,-1.51
CUST_000008,2023-03-06 00:47:40.570895,Premium,US,Technology,71.37,13,3,14.65,2,3.8,7.4,Credit Card,0,0,,0.34
CUST_000009,2025-05-13 00:47:40.570895,Premium,Canada,Finance,110.05,6,10,13.57,3,18.4,6.0,Credit Card,0,0,,-0.57
CUST_000010,2025-05-17 00:47:40.570895,Premium,US,Finance,89.26,4,9,138.02,1,2.9,8.7,Bank Transfer,0,0,,-0.23
CUST_000011,2025-01-07 00:47:40.570895,Premium,US,Technology,56.25,18,5,97.01,6,11.2,6.0,Credit Card,0,0,,0.91
CUST_000012,2024-04-26 00:47:40.570895,Starter,US,Technology,6.61,12,5,53.59,1,11.0,6.2,PayPal,0,0,,-0.82
CUST_000013,2024-03-28 00:47:40.570895,Enterprise,UK,Retail,307.83,15,5,42.43,1,125.1,4.8,Bank Transfer,2,1,2025-01-10 00:47:40.570895,2.76
CUST_000014,2025-05-24 00:47:40.570895,Premium,UK,Manufacturing,75.56,8,5,9.29,4,22.9,9.1,Bank Transfer,1,0,,-0.95
CUST_000015,2024-06-05 00:47:40.570895,Basic,US,Retail,30.77,22,11,49.43,1,12.1,7.6,Credit Card,1,0,,-1.41
CUST_000016,2023-03-11 00:47:40.586908,Basic,Japan,Retail,26.61,17,10,73.48,1,2.1,7.6,Credit Card,1,0,,-0.65
CUST_000017,2024-04-22 00:47:40.586908,Starter,UK,Healthcare,7.81,18,7,10.19,0,13.4,6.9,PayPal,0,0,,0.16
CUST_000018,2023-01-10 00:47:40.586908,Basic,US,Technology,30.07,17,7,47.3,1,10.6,7.1,Credit Card,0,0,,1.87
CUST_000019,2023-12-26 00:47:40.586908,Premium,US,Healthcare,104.79,9,12,49.16,3,1.8,7.2,Credit Card,1,0,,-0.94
CUST_000020,2025-07-04 00:47:40.586908,Basic,UK,Healthcare,32.98,14,12,11.58,1,11.4,7.7,Credit Card,1,0,,-1.43
CUST_000021,2024-08-25 00:47:40.586908,Premium,US,Technology,109.83,13,5,232.85,2,10.0,9.8,Bank Transfer,0,0,,-2.44
CUST_000022,2023-03-05 00:47:40.586908,Starter,UK,Retail,10.23,12,11,93.91,3,16.3,9.2,Credit Card,2,0,,-0.86
CUST_000023,2023-08-21 00:47:40.586908,Starter,Japan,Manufacturing,12.26,21,10,3.78,2,2.1,9.2,PayPal,2,0,,-1.48
CUST_000024,2023-12-26 00:47:40.586908,Basic,Australia,Finance,33.97,8,4,31.62,0,3.0,8.0,Bank Transfer,0,0,,-0.83
CUST_000025,2024-09-02 00:47:40.586908,Starter,US,Technology,8.38,27,7,2.22,4,4.4,6.4,PayPal,1,0,,-1.97
CUST_000026,2024-05-03 00:47:40.586908,Enterprise,France,Manufacturing,193.3,5,12,10.42,2,1.9,8.0,Credit Card,1,0,,-1.12
CUST_000027,2023-08-28 00:47:40.586908,Basic,France,Retail,21.34,31,7,1.34,3,21.6,8.0,Bank Transfer,1,0,,-3.09
CUST_000028,2024-12-20 00:47:40.586908,Premium,US,Technology,83.1,17,7,70.75,1,5.5,6.2,Credit Card,2,0,,-0.94
CUST_000029,2025-01-09 00:47:40.586908,Basic,US,Healthcare,36.4,12,14,41.16,2,0.7,8.5,Bank Transfer,0,0,,-1.63
CUST_000030,2023-05-31 00:47:40.586908,Basic,US,Healthcare,18.96,21,6,39.64,2,17.8,9.0,Credit Card,2,0,,-1.35
CUST_000031,2024-12-31 00:47:40.590625,Basic,UK,Healthcare,31.18,6,9,6.85,1,24.6,6.7,Bank Transfer,0,0,,-0.06
CUST_000032,2023-07-13 00:47:40.590625,Premium,US,Technology,66.12,6,11,22.0,1,9.6,6.6,Credit Card,1,0,,-1.27
CUST_000033,2023-08-13 00:47:40.590625,Basic,US,Technology,30.03,15,12,71.35,2,3.8,8.1,Bank Transfer,1,0,,-3.78
CUST_000034,2024-01-23 00:47:40.590625,Enterprise,US,Healthcare,210.69,8,3,11.88,1,53.1,10.0,Bank Transfer,0,0,,-1.12
CUST_000035,2025-04-20 00:47:40.590625,Basic,UK,Finance,26.45,17,8,114.95,2,9.6,6.6,Credit Card,1,0,,-1.26
CUST_000036,2022-12-20 00:47:40.590625,Enterprise,US,Retail,205.92,26,8,14.91,1,63.6,10.0,Credit Card,1,0,,-2.38
CUST_000037,2024-11-04 00:47:40.590625,Basic,US,Finance,26.34,14,7,35.27,3,14.5,10.0,Credit Card,1,0,,-0.02
CUST_000038,2023-06-03 00:47:40.590625,Basic,US,Technology,42.86,15,7,88.78,1,31.5,7.6,Credit Card,1,0,,-0.16
CUST_000039,2025-02-06 00:47:40.590625,Enterprise,US,Technology,214.7,14,6,19.0,3,55.2,8.6,Credit Card,0,0,,0.21
CUST_000040,2023-11-25 00:47:40.590625,Basic,US,Finance,15.72,20,12,7.5,5,9.0,8.7,Credit Card,0,0,,-2.86
CUST_000041,2023-07-08 00:47:40.593428,Enterprise,Germany,Healthcare,250.22,7,14,73.89,0,21.9,10.0,Credit Card,2,0,,-2.48
CUST_000042,2024-06-19 00:47:40.593771,Basic,US,Technology,33.42,11,3,0.91,6,20.6,5.5,Bank Transfer,2,1,2024-08-23 00:47:40.593771,4.89
CUST_000043,2025-04-15 00:47:40.593771,Basic,Japan,Retail,29.32,21,11,68.18,2,2.9,9.1,PayPal,0,0,,-3.25
CUST_000044,2024-04-07 00:47:40.593771,Premium,France,Finance,86.45,3,3,22.5,2,26.1,7.1,Credit Card,1,0,,1.89
CUST_000045,2023-12-03 00:47:40.593771,Premium,US,Retail,82.13,10,10,44.27,2,18.3,6.7,Bank Transfer,0,0,,-3.57
CUST_000046,2025-02-04 00:47:40.593771,Basic,US,Retail,31.98,13,9,8.49,2,6.0,8.6,Credit Card,0,0,,-2.13
CUST_000047,2024-03-28 00:47:40.593771,Enterprise,US,Finance,185.04,10,10,82.21,2,12.5,6.6,Credit Card,2,0,,-0.26
CUST_000048,2024-12-23 00:47:40.595383,Enterprise,UK,Retail,208.05,16,5,44.62,2,19.3,4.9,PayPal,1,1,2025-08-04 00:47:40.595383,2.46
CUST_000049,2023-12-26 00:47:40.595383,Enterprise,US,Education,185.64,21,9,12.3,2,55.4,9.2,Bank Transfer,0,0,,-0.85
CUST_000050,2023-01-01 00:47:40.595383,Enterprise,US,Technology,196.25,5,8,7.36,5,59.0,4.7,Credit Card,0,1,2023-12-22 00:47:40.595383,2.72
CUST_000051,2023-07-01 00:47:40.595383,Basic,Canada,Technology,20.68,16,6,63.48,2,26.2,7.6,Credit Card,0,0,,0.18
CUST_000052,2024-08-18 00:47:40.595383,Basic,UK,Technology,43.85,12,7,21.11,2,21.9,6.3,Credit Card,0,0,,-0.08
CUST_000053,2023-06-20 00:47:40.595383,Starter,US,Technology,10.77,14,14,39.03,6,16.1,8.1,Credit Card,0,0,,-0.79
CUST_000054,2023-07-21 00:47:40.595383,Starter,US,Finance,9.8,13,9,30.36,3,19.7,9.0,Credit Card,0,0,,-2.05
CUST_000055,2024-05-14 00:47:40.595383,Premium,UK,Retail,111.27,20,12,104.64,3,4.9,8.5,Credit Card,0,0,,-3.17
CUST_000056,2024-01-18 00:47:40.595383,Basic,US,Technology,44.07,8,11,20.5,2,15.1,8.7,Bank Transfer,0,0,,-3.45
CUST_000057,2025-02-21 00:47:40.595383,Basic,France,Technology,27.58,14,14,27.03,4,113.5,9.3,Credit Card,0,0,,-1.38
CUST_000058,2024-08-01 00:47:40.595383,Basic,US,Technology,25.3,19,3,8.36,2,18.5,9.8,Credit Card,1,0,,0.8
CUST_000059,2024-03-03 00:47:40.595383,Basic,Germany,Manufacturing,30.66,18,13,16.52,1,28.6,7.6,PayPal,0,0,,-1.63
CUST_000060,2024-08-17 00:47:40.595383,Enterprise,Japan,Technology,200.72,26,10,56.66,2,38.3,8.9,Bank Transfer,1,0,,-3.58
CUST_000061,2022-12-14 00:47:40.595383,Premium,Canada,Finance,68.74,12,9,8.76,3,8.1,7.8,Credit Card,0,0,,1.05
CUST_000062,2023-06-01 00:47:40.595383,Premium,UK,Retail,83.21,10,7,5.41,2,8.6,7.0,Credit Card,0,0,,1.17
CUST_000063,2024-01-12 00:47:40.599251,Premium,US,Education,70.17,19,13,86.16,2,0.0,7.3,PayPal,0,0,,-2.22
CUST_000064,2024-04-24 00:47:40.599251,Enterprise,UK,Retail,232.2,15,13,15.96,2,69.0,10.0,Credit Card,0,0,,-4.07
CUST_000065,2023-09-22 00:47:40.599251,Starter,US,Education,7.72,9,13,172.4,2,35.4,8.2,Credit Card,0,0,,-2.39
CUST_000066,2025-03-25 00:47:40.599251,Basic,France,Finance,28.48,16,14,14.22,1,4.2,5.5,Credit Card,0,0,,0.15
CUST_000067,2024-04-04 00:47:40.599251,Starter,US,Healthcare,7.31,25,14,75.67,0,15.7,7.1,PayPal,0,0,,-3.4
CUST_000068,2025-05-13 00:47:40.599251,Premium,UK,Retail,75.51,13,3,107.08,0,41.8,5.4,PayPal,0,0,,-1.11
CUST_000069,2023-10-10 00:47:40.599251,Premium,Australia,Technology,84.56,10,11,137.61,0,18.7,8.5,Bank Transfer,1,0,,-2.61
