customer_id,ticket_id,ticket_date,ticket_type,priority,status,resolution_time_hours,customer_satisfaction
CUST_000001,TKT_000000,2025-01-01 00:47:40.570895,Feature Request,Low,Closed,209.5,6.093392627483575
CUST_000001,TKT_000001,2024-12-29 00:47:40.570895,Account Access,High,Open,2.4,9.197177933246923
CUST_000005,TKT_000002,2024-12-01 00:47:40.570895,Account Access,Low,Closed,28.0,8.325431128114491
CUST_000008,TKT_000003,2023-03-10 00:47:40.570895,Billing Question,Critical,In Progress,3.3,8.520448571796297
CUST_000008,TKT_000004,2023-07-18 00:47:40.570895,Technical Issue,High,Open,4.2,7.1922344579890645
CUST_000009,TKT_000005,2025-11-13 00:47:40.570895,Technical Issue,Critical,Resolved,3.0,5.103307126877561
CUST_000009,TKT_000006,2025-06-27 00:47:40.570895,Account Access,High,In Progress,19.1,5.774273303418184
CUST_000009,TKT_000007,2025-10-19 00:47:40.570895,General Inquiry,High,Open,7.5,4.670606200651023
CUST_000009,TKT_000008,2025-11-03 00:47:40.570895,General Inquiry,Medium,In Progress,34.5,7.1599475416147005
CUST_000011,TKT_000009,2025-07-26 00:47:40.570895,Feature Request,High,In Progress,11.0,7.969286648822986
CUST_000011,TKT_000010,2025-03-01 00:47:40.570895,Feature Request,Medium,In Progress,32.3,7.5863996469975
CUST_000011,TKT_000011,2025-11-24 00:47:40.570895,Feature Request,Critical,Open,7.1,4.154508566467941
CUST_000011,TKT_000012,2025-07-19 00:47:40.570895,Technical Issue,Medium,Open,10.3,8.288466856579383
CUST_000011,TKT_000013,2025-07-31 00:47:40.570895,Account Access,High,In Progress,25.9,4.254369062237862
CUST_000011,TKT_000014,2025-12-28 00:47:40.570895,Account Access,Medium,In Progress,71.5,8.833469569692069
CUST_000011,TKT_000015,2025-10-27 00:47:40.570895,Account Access,Low,In Progress,100.6,10.87146086592223
CUST_000011,TKT_000016,2025-08-05 00:47:40.570895,Technical Issue,Critical,Closed,1.6,4.400678710949496
CUST_000011,TKT_000017,2025-06-20 00:47:40.570895,Billing Question,High,Open,15.7,7.709143229725654
