feature,importance
satisfaction_score,0.3149600849073889
monthly_logins,0.290897898427512
data_usage_gb,0.07308422237009117
support_tickets,0.0469576679839535
late_payments,0.03790238095656476
features_used,0.034665386663600535
features_accessed_mean_90d,0.01660838905326951
pages_viewed_std_30d,0.015319468511311472
tenure_days,0.013396183163880006
session_duration_mean_90d,0.013237726715383594
logins_mean_60d,0.013163662312743192
session_duration_mean_30d,0.013031033604595316
avg_response_time_hours,0.011945327771070966
session_duration_mean_60d,0.011523525648152242
session_duration_sum_60d,0.011230843821968536
session_duration_sum_30d,0.011024966604970368
revenue_per_login,0.010697969740353148
logins_sum_60d,0.010096895119541626
revenue_per_feature,0.009724528221743986
session_duration_sum_90d,0.009272840342674733
value_perception,0.006735146118422462
monthly_revenue,0.005069445689624717
revenue_per_day,0.004034899322623884
country_encoded,0.0030573895739164857
high_risk_indicator,0.0013818310396435636
resolution_time_std_90d,0.0012201301161302023
plan_encoded,0.0009621794916681604
satisfaction_mean_90d,0.0008691411694075013
high_priority_tickets_60d,0.0008401033320284368
high_priority_tickets_90d,0.0007698754329407198
resolution_time_mean_30d,0.000758204830690962
satisfaction_mean_30d,0.0007203433613765767
high_priority_tickets_30d,0.0006917509207390834
satisfaction_std_90d,0.0006551804818927755
resolution_time_mean_60d,0.0006332146891148292
satisfaction_std_60d,0.0005329435530331032
support_satisfaction_score,0.0004093741412571114
open_tickets_30d,0.00034340139640954556
satisfaction_mean_60d,0.0002647151375084177
support_intensity_90d,0.00021697599797538178
open_tickets_60d,0.00018064354668256675
open_tickets_90d,0.00016736688256873365
resolution_time_std_60d,0.00013837389201809243
support_intensity_60d,0.00011280248395417897
tickets_count_90d,0.00010851877575354881
tickets_count_30d,0.00010506485259972462
satisfaction_std_30d,8.5363163220665e-05
resolution_time_std_30d,8.503575682594603e-05
tickets_count_60d,6.617721519790129e-05
support_intensity_30d,4.340569400520963e-05
